Entity,Type,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2004/02/skos/core#prefLabel,
http://purl.obolibrary.org/obo/IAO_0000582,Class,"'time stamped measurement datum'",,
http://purl.obolibrary.org/obo/IAO_0000584,Class,"'time sampled measurement data set'",,
http://purl.obolibrary.org/obo/OBI_0000011,Class,"'planned process'",,
http://purl.obolibrary.org/obo/OBI_0000047,Class,"'processed material'",,
http://purl.obolibrary.org/obo/OBI_0000067,Class,"'evaluant role'",,
http://purl.obolibrary.org/obo/OBI_0000070,Class,"'assay'",,
http://purl.obolibrary.org/obo/OBI_0000086,Class,"'reagent role'",,
http://purl.obolibrary.org/obo/OBI_0000094,Class,"'material processing'",,
http://purl.obolibrary.org/obo/OBI_0000185,Class,"'imaging assay'",,
http://purl.obolibrary.org/obo/OBI_0000339,Class,"'planning'",,
http://purl.obolibrary.org/obo/OBI_0000367,Class,"'light emission function'",,
http://purl.obolibrary.org/obo/OBI_0000374,Class,"'excitation function'",,
http://purl.obolibrary.org/obo/OBI_0000441,Class,"'assay objective'",,
http://purl.obolibrary.org/obo/OBI_0000456,Class,"'material transformation objective'",,
http://purl.obolibrary.org/obo/OBI_0000458,Class,"'manufacturing objective'",,
http://purl.obolibrary.org/obo/OBI_0000806,Class,"'material maintenance objective'",,
http://purl.obolibrary.org/obo/OBI_0000838,Class,"'material maintenance'",,
http://purl.obolibrary.org/obo/OBI_0000968,Class,"'device'",,
http://purl.obolibrary.org/obo/OBI_0001032,Class,"'light emission device'",,
http://purl.obolibrary.org/obo/OBI_0001138,Class,"'X-ray source'",,
http://purl.obolibrary.org/obo/OBI_0001755,Class,"'selection criterion'",,
http://purl.obolibrary.org/obo/OBI_0001928,Class,"'selection'",,
http://purl.obolibrary.org/obo/OBI_0002900,Class,"'ultraviolet light source'",,
http://purl.obolibrary.org/obo/OBI_0002901,Class,"'visible light source'",,
http://purl.obolibrary.org/obo/OBI_0002902,Class,"'solar light source'",,
http://purl.obolibrary.org/obo/OBI_0200000,Class,"'data transformation'",,
http://purl.obolibrary.org/obo/OBI_0200166,Class,"'data transformation objective'",,
http://purl.obolibrary.org/obo/OBI_0302893,Class,"'storage'	'storage'",,
http://purl.obolibrary.org/obo/OBI_0400064,Class,"'laser'",,
http://purl.obolibrary.org/obo/OBI_0400065,Class,"'light source'",,
http://purl.obolibrary.org/obo/OBI_0600008,Class,"'acquisition'",,
http://purl.obolibrary.org/obo/OBI_0600010,Class,"'material acquisition'",,
http://purl.obolibrary.org/obo/OBI_0600013,Class,"'information acquisition'",,
http://purl.obolibrary.org/obo/PATO_0000008,Class,"'speed'",,
http://purl.obolibrary.org/obo/PATO_0000025,Class,"'composition'",,
http://purl.obolibrary.org/obo/PATO_0000033,Class,"'concentration of'",,
http://purl.obolibrary.org/obo/PATO_0000044,Class,"'frequency'",,
http://purl.obolibrary.org/obo/PATO_0000051,Class,"'morphology'",,
http://purl.obolibrary.org/obo/PATO_0000052,Class,"'shape'",,
http://purl.obolibrary.org/obo/PATO_0000117,Class,"'size'",,
http://purl.obolibrary.org/obo/PATO_0000119,Class,"'height'",,
http://purl.obolibrary.org/obo/PATO_0000122,Class,"'length'",,
http://purl.obolibrary.org/obo/PATO_0000125,Class,"'mass'",,
http://purl.obolibrary.org/obo/PATO_0000128,Class,"'weight'",,
http://purl.obolibrary.org/obo/PATO_0000133,Class,"'orientation'",,
http://purl.obolibrary.org/obo/PATO_0000140,Class,"'position'",,
http://purl.obolibrary.org/obo/PATO_0000141,Class,"'structure'",,
http://purl.obolibrary.org/obo/PATO_0000146,Class,"'temperature'",,
http://purl.obolibrary.org/obo/PATO_0000161,Class,"'rate'",,
http://purl.obolibrary.org/obo/PATO_0000165,Class,"'time'",,
http://purl.obolibrary.org/obo/PATO_0000915,Class,"'thickness'",,
http://purl.obolibrary.org/obo/PATO_0000918,Class,"'volume'",,
http://purl.obolibrary.org/obo/PATO_0000921,Class,"'width'",,
http://purl.obolibrary.org/obo/PATO_0001018,Class,"'physical quality'",,
http://purl.obolibrary.org/obo/PATO_0001019,Class,"'mass density'",,
http://purl.obolibrary.org/obo/PATO_0001021,Class,"'energy'",,
http://purl.obolibrary.org/obo/PATO_0001024,Class,"'power'",,
http://purl.obolibrary.org/obo/PATO_0001025,Class,"'pressure'",,
http://purl.obolibrary.org/obo/PATO_0001026,Class,"'work'",,
http://purl.obolibrary.org/obo/PATO_0001028,Class,"'acceleration'",,
http://purl.obolibrary.org/obo/PATO_0001029,Class,"'efficiency'",,
http://purl.obolibrary.org/obo/PATO_0001035,Class,"'force'",,
http://purl.obolibrary.org/obo/PATO_0001236,Class,"'process quality'",,
http://purl.obolibrary.org/obo/PATO_0001241,Class,"'physical object quality'",,
http://purl.obolibrary.org/obo/PATO_0001242,Class,"'wavelength'",,
http://purl.obolibrary.org/obo/PATO_0001309,Class,"'duration'",,
http://purl.obolibrary.org/obo/PATO_0001323,Class,"'area'",,
http://purl.obolibrary.org/obo/PATO_0001334,Class,"'diameter'",,
http://purl.obolibrary.org/obo/PATO_0001350,Class,"'angular acceleration'",,
http://purl.obolibrary.org/obo/PATO_0001413,Class,"'angular velocity'",,
http://purl.obolibrary.org/obo/PATO_0001464,Class,"'electric potential'",,
http://purl.obolibrary.org/obo/PATO_0001547,Class,"'quality of a gas'",,
http://purl.obolibrary.org/obo/PATO_0001574,Class,"'flow rate'",,
http://purl.obolibrary.org/obo/PATO_0001595,Class,"'depth'",,
http://purl.obolibrary.org/obo/PATO_0001708,Class,"'1-D extent'",,
http://purl.obolibrary.org/obo/PATO_0001709,Class,"'2-D extent'",,
http://purl.obolibrary.org/obo/PATO_0001710,Class,"'3-D extent'",,
http://purl.obolibrary.org/obo/PATO_0001711,Class,"'perimeter'",,
http://purl.obolibrary.org/obo/PATO_0001906,Class,"'movement quality'",,
http://purl.obolibrary.org/obo/PATO_0002062,Class,"'physical quality of a process'",,
http://purl.obolibrary.org/obo/PATO_0002122,Class,"'mixed'",,
http://purl.obolibrary.org/obo/PATO_0002182,Class,"'molecular quality'",,
http://purl.obolibrary.org/obo/PATO_0002198,Class,"'quality of a substance'",,
http://purl.obolibrary.org/obo/PATO_0002242,Class,"'velocity'",,
http://purl.obolibrary.org/obo/PATO_0002243,Class,"'fluid flow rate'",,
http://purl.obolibrary.org/obo/PATO_0002244,Class,"'mass flow rate'",,
http://purl.obolibrary.org/obo/PATO_0002390,Class,"'radius'",,
http://purl.obolibrary.org/obo/PATO_0015009,Class,"'humidity'",,
http://purl.obolibrary.org/obo/PATO_0050000,Class,"'rate of occurence'",,
http://purl.obolibrary.org/obo/UO_0000001,Class,"'length unit'",,
http://purl.obolibrary.org/obo/UO_0000002,Class,"'mass unit'",,
http://purl.obolibrary.org/obo/UO_0000003,Class,"'time unit'",,
http://purl.obolibrary.org/obo/UO_0000004,Class,"'electric current unit'",,
http://purl.obolibrary.org/obo/UO_0000005,Class,"'temperature unit'",,
http://purl.obolibrary.org/obo/UO_0000045,Class,"'base unit'",,
http://purl.obolibrary.org/obo/UO_0000047,Class,"'area unit'",,
http://purl.obolibrary.org/obo/UO_0000048,Class,"'acceleration unit'",,
http://purl.obolibrary.org/obo/UO_0000050,Class,"'angular acceleration unit'",,
http://purl.obolibrary.org/obo/UO_0000051,Class,"'concentration unit'",,
http://purl.obolibrary.org/obo/UO_0000060,Class,"'speed/velocity unit'",,
http://purl.obolibrary.org/obo/UO_0000095,Class,"'volume unit'",,
http://purl.obolibrary.org/obo/UO_0000105,Class,"'frequency unit'",,
http://purl.obolibrary.org/obo/UO_0000109,Class,"'pressure unit'",,
http://purl.obolibrary.org/obo/UO_0000111,Class,"'energy unit'",,
http://purl.obolibrary.org/obo/UO_0000113,Class,"'power unit'",,
http://purl.obolibrary.org/obo/UO_0000121,Class,"'angle unit'",,
http://purl.obolibrary.org/obo/UO_0000182,Class,"'density unit'",,
http://purl.obolibrary.org/obo/UO_0000186,Class,"'dimensionless unit'",,
http://purl.obolibrary.org/obo/UO_0000217,Class,"'electric potential difference unit'",,
http://purl.obolibrary.org/obo/UO_0000219,Class,"'electric charge'",,
http://purl.obolibrary.org/obo/UO_0000270,Class,"'volumetric flow rate unit'",,
http://purl.obolibrary.org/obo/UO_0000280,Class,"'rate unit'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000001,Class,"'solar cell'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000002,Class,"'Carrier'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000003,Class,"'Back contact'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000004,Class,"'Mixture of raw materials'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000005,Class,"'Buffer layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000006,Class,"'Front contact'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000007,Class,"'layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000008,Class,"'Photo absorber layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000009,Class,"'Non photo-absorber layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000010,Class,"'Electron transport layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000011,Class,"'Hole transport layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000012,Class,"'Antireflective coating'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000013,Class,"'Conversion layer'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000014,Class,"'Cell spacing'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000015,Class,"'Back reflection'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000016,Class,"'Dielectric mirror'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000017,Class,"'Down conversion'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000018,Class,"'Encapsulation'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000019,Class,"'Light management'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000020,Class,"'Upconversion'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000021,Class,"'Layer role'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000022,Class,"'illumination process'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000023,Class,"'Perovskite'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000024,Class,"'Doped raw material'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000026,Class,"'solvent'",,
http://www.semanticweb.org/ot2661/ontologies/2022/8/TFSCO#TFSCO_00000027,Class,"'Mixture of solvents'",,
